Year,Yearly_Ranking,Title,Studio,Total_Gross,Number_of_Theaters,Opening_Gross,Number_of_Opening_Theaters,Open_Date,End_Date,Running time,Genre,Rating
2013,1,The Hunger Games: Catching Fire,LGF,"$424,668,047 ","4,163","$158,074,286 ","4,163",11月22日,4月3日,2 hrs. 26 min.,Action / Adventure,PG-13
2013,2,Iron Man 3,BV,"$409,013,994 ","4,253","$174,144,585 ","4,253",5月3日,9月12日,2 hrs. 9 min.,Action / Adventure,PG-13
2013,3,Frozen,BV,"$400,738,009 ","3,742","$243,390 ",1,11月22日,7月17日,1 hrs. 48 min.,Animation,PG
2013,4,Despicable Me 2,Uni.,"$368,061,265 ","4,003","$83,517,315 ","3,997",7月3日,1月16日,1 hrs. 38 min.,Animation,PG
2013,5,Man of Steel,WB,"$291,045,518 ","4,207","$116,619,362 ","4,207",6月14日,9月19日,2 hrs. 23 min.,Action / Adventure,PG-13
2013,6,Gravity,WB,"$274,092,705 ","3,820","$55,785,112 ","3,575",10月4日,5月8日,1 hrs. 31 min.,Sci-Fi Thriller,PG-13
2013,7,Monsters University,BV,"$268,492,764 ","4,004","$82,429,469 ","4,004",6月21日,12月19日,1 hrs. 47 min.,Animation,G
2013,8,The Hobbit: The Desolation of Smaug,WB (NL),"$258,366,855 ","3,928","$73,645,197 ","3,903",12月13日,4月17日,2 hrs. 41 min.,Fantasy,PG-13
2013,9,Fast & Furious 6,Uni.,"$238,679,850 ","3,771","$97,375,245 ","3,658",5月24日,9月5日,2 hrs. 10 min.,Action,PG-13
2013,10,Oz The Great and Powerful,BV,"$234,911,825 ","3,912","$79,110,453 ","3,912",3月8日,7月18日,2 hrs. 7 min.,Adventure,PG
2013,11,Star Trek Into Darkness,Par.,"$228,778,661 ","3,907","$70,165,559 ","3,868",5月16日,9月12日,2 hrs. 3 min.,Sci-Fi Adventure,PG-13
2013,12,Thor: The Dark World,BV,"$206,362,140 ","3,841","$85,737,841 ","3,841",11月8日,4月17日,2 hrs. 0 min.,Action / Adventure,PG-13
2013,13,World War Z,Par.,"$202,359,711 ","3,607","$66,411,834 ","3,607",6月21日,10月10日,1 hrs. 56 min.,Action Horror,PG-13
2013,14,The Croods,Fox,"$187,168,425 ","4,065","$43,639,736 ","4,046",3月22日,9月19日,1 hrs. 38 min.,Animation,PG
2013,15,The Heat,Fox,"$159,582,188 ","3,184","$39,115,043 ","3,181",6月28日,12月12日,1 hrs. 57 min.,Comedy,R
2013,16,We're the Millers,WB (NL),"$150,394,119 ","3,445","$26,419,396 ","3,260",8月7日,12月5日,1 hrs. 50 min.,Comedy,R
2013,17,American Hustle,Sony,"$150,117,807 ","2,629","$740,455 ",6,12月13日,4月6日,2 hrs. 18 min.,Drama,R
2013,18,The Great Gatsby (2013),WB,"$144,840,419 ","3,550","$50,085,185 ","3,535",5月10日,8月22日,2 hrs. 23 min.,Drama,PG-13
2013,19,The Conjuring,WB (NL),"$137,400,141 ","3,115","$41,855,326 ","2,903",7月19日,10月31日,1 hrs. 52 min.,Horror,R
2013,20,Identity Thief,Uni.,"$134,506,920 ","3,230","$34,551,025 ","3,141",2月8日,6月6日,1 hrs. 51 min.,Comedy,R
2013,21,Grown Ups 2,Sony,"$133,668,525 ","3,491","$41,508,572 ","3,491",7月12日,11月17日,1 hrs. 41 min.,Comedy,PG-13
2013,22,The Wolverine,Fox,"$132,556,852 ","3,924","$53,113,752 ","3,924",7月26日,12月5日,2 hrs. 6 min.,Action,PG-13
2013,23,Anchorman 2: The Legend Continues,Par.,"$125,168,368 ","3,507","$26,232,425 ","3,507",12月18日,2月20日,1 hrs. 59 min.,Comedy,PG-13
2013,24,Lone Survivor,Uni.,"$125,095,601 ","3,285","$90,872 ",2,12月25日,4月10日,2 hrs. 1 min.,Action Drama,R
2013,25,G.I. Joe: Retaliation,Par.,"$122,523,060 ","3,734","$40,501,814 ","3,719",3月28日,7月18日,1 hrs. 39 min.,Action,PG-13
2013,26,Cloudy with a Chance of Meatballs 2,Sony,"$119,793,567 ","4,001","$34,017,930 ","4,001",9月27日,3月16日,1 hrs. 35 min.,Animation,PG
2013,27,Now You See Me,LG/S,"$117,723,989 ","3,082","$29,350,389 ","2,925",5月31日,9月26日,1 hrs. 56 min.,Thriller,PG-13
2013,28,The Wolf of Wall Street,Par.,"$116,900,694 ","2,557","$18,361,578 ","2,537",12月25日,4月3日,3 hrs. 0 min.,Drama,R
2013,29,Lee Daniels' The Butler,Wein.,"$116,632,095 ","3,330","$24,637,312 ","2,933",8月16日,2月13日,2 hrs. 12 min.,Drama,PG-13
2013,30,The Hangover Part III,WB,"$112,200,072 ","3,565","$41,671,198 ","3,555",5月23日,8月15日,1 hrs. 40 min.,Comedy,R
2013,31,Epic,Fox,"$107,518,682 ","3,894","$33,531,068 ","3,882",5月24日,9月19日,1 hrs. 42 min.,Animation,PG
2013,32,Captain Phillips,Sony,"$107,100,855 ","3,143","$25,718,314 ","3,020",10月11日,3月2日,2 hrs. 14 min.,Drama,PG-13
2013,33,Jackass Presents: Bad Grandpa,Par.,"$102,003,019 ","3,345","$32,055,177 ","3,336",10月25日,1月23日,1 hrs. 33 min.,Comedy,R
2013,34,Pacific Rim,WB,"$101,802,906 ","3,285","$37,285,325 ","3,275",7月12日,10月17日,2 hrs. 11 min.,Sci-Fi Action,PG-13
2013,35,This is the End,Sony,"$101,470,202 ","3,055","$20,719,162 ","3,055",6月12日,10月6日,1 hrs. 47 min.,Comedy,R
2013,36,Olympus Has Fallen,FD,"$98,925,640 ","3,106","$30,373,794 ","3,098",3月22日,7月11日,2 hrs. 0 min.,Thriller,R
2013,37,42,WB,"$95,020,213 ","3,405","$27,487,144 ","3,003",4月12日,7月25日,2 hrs. 8 min.,Sports Drama,PG-13
2013,38,Elysium,TriS,"$93,050,117 ","3,284","$29,807,393 ","3,284",8月9日,11月24日,1 hrs. 49 min.,Sci-Fi,R
2013,39,Planes,BV,"$90,288,712 ","3,716","$22,232,291 ","3,702",8月9日,12月19日,1 hrs. 32 min.,Animation,PG
2013,40,The Lone Ranger,BV,"$89,302,115 ","3,904","$29,210,849 ","3,904",7月3日,10月10日,2 hrs. 29 min.,Western,PG-13
2013,41,Oblivion,Uni.,"$89,107,235 ","3,792","$37,054,485 ","3,783",4月19日,6月27日,2 hrs. 5 min.,Sci-Fi Adventure,PG-13
2013,42,Insidious Chapter 2,FD,"$83,586,447 ","3,155","$40,272,103 ","3,049",9月13日,12月19日,1 hrs. 45 min.,Horror,PG-13
2013,43,Saving Mr. Banks,BV,"$83,301,580 ","2,671","$413,373 ",15,12月13日,4月17日,2 hrs. 0 min.,Drama,PG-13
2013,44,Turbo,Fox,"$83,028,128 ","3,809","$21,312,625 ","3,806",7月17日,12月12日,1 hrs. 36 min.,Animation,PG
2013,45,2 Guns,Uni.,"$75,612,460 ","3,028","$27,059,130 ","3,025",8月2日,10月24日,1 hrs. 49 min.,Action Comedy,R
2013,46,White House Down,Sony,"$73,103,784 ","3,222","$24,852,258 ","3,222",6月28日,9月15日,2 hrs. 17 min.,Action Drama,PG-13
2013,47,Mama,Uni.,"$71,628,180 ","2,781","$28,402,310 ","2,647",1月18日,4月4日,1 hrs. 40 min.,Horror,PG-13
2013,48,Safe Haven,Rela.,"$71,349,120 ","3,223","$21,401,594 ","3,223",2月14日,5月30日,1 hrs. 55 min.,Romance,PG-13
2013,49,The Smurfs 2,Sony,"$71,017,784 ","3,867","$17,548,389 ","3,866",7月31日,11月17日,1 hrs. 45 min.,Family Comedy,PG
2013,50,The Best Man Holiday,Uni.,"$70,525,195 ","2,041","$30,107,555 ","2,024",11月15日,1月9日,2 hrs. 2 min.,Comedy / Drama,R
2013,51,Percy Jackson: Sea of Monsters,Fox,"$68,559,554 ","3,080","$14,401,054 ","3,031",8月7日,1月30日,1 hrs. 46 min.,Fantasy,PG
2013,52,A Good Day to Die Hard,Fox,"$67,349,198 ","3,555","$24,834,845 ","3,553",2月14日,5月23日,1 hrs. 37 min.,Action,R
2013,53,Warm Bodies,LG/S,"$66,380,662 ","3,009","$20,353,967 ","3,009",2月1日,5月9日,1 hrs. 37 min.,Drama,PG-13
2013,54,Jack the Giant Slayer,WB (NL),"$65,187,603 ","3,525","$27,202,226 ","3,525",3月1日,6月13日,1 hrs. 54 min.,Adventure,PG-13
2013,55,The Purge,Uni.,"$64,473,115 ","2,591","$34,058,360 ","2,536",6月7日,8月8日,1 hrs. 25 min.,Thriller,R
2013,56,Last Vegas,CBS,"$63,914,167 ","3,237","$16,334,566 ","3,065",11月1日,2月20日,1 hrs. 30 min.,Comedy,PG-13
2013,57,Ender's Game,LG/S,"$61,737,191 ","3,407","$27,017,351 ","3,407",11月1日,1月9日,1 hrs. 54 min.,Sci-Fi,PG-13
2013,58,Prisoners,WB,"$61,002,302 ","3,290","$20,817,053 ","3,260",9月20日,12月5日,2 hrs. 26 min.,Action Thriller,R
2013,59,After Earth,Sony,"$60,522,097 ","3,401","$27,520,040 ","3,401",5月31日,8月18日,1 hrs. 40 min.,Sci-Fi,PG-13
